('utt116816', 'utt116817')
('utt60395', 'utt60398')
('utt94745', 'utt94748')
('utt148419', 'utt148425')
('utt78451', 'utt78452')
('utt35529', 'utt35532')
('utt99354', 'utt99360')
('utt92799', 'utt92800')
('utt131354', 'utt131361')
('utt126261', 'utt126265')
('utt127278', 'utt127284')
('utt95467', 'utt95469')
('utt56911', 'utt56915')
('utt35350', 'utt35359')
('utt139963', 'utt139966')
('utt112772', 'utt112775')
('utt83013', 'utt83017')
('utt114573', 'utt114579')
('utt140932', 'utt140935')
('utt123391', 'utt123394')
('utt62362', 'utt62364')
('utt56017', 'utt56018')
('utt102190', 'utt102197')
('utt90270', 'utt90275')
('utt52152', 'utt52155')
('utt27361', 'utt27363')
('utt55812', 'utt55814')
('utt59597', 'utt59602')
('utt142351', 'utt142357')
('utt28004', 'utt28011')
('utt74530', 'utt74531')
('utt46458', 'utt46460')
('utt45973', 'utt45974')
('utt117549', 'utt117550')
('utt49374', 'utt49382')
('utt23411', 'utt23420')
('utt36449', 'utt36455')
('utt54113', 'utt54114')
('utt147511', 'utt147512')
('utt58076', 'utt58078')
('utt147824', 'utt147831')
('utt62357', 'utt62363')
('utt99295', 'utt99297')
('utt127635', 'utt127637')
('utt123578', 'utt123584')
('utt26346', 'utt26353')
('utt21558', 'utt21565')
('utt46663', 'utt46666')
('utt28909', 'utt28914')
('utt133706', 'utt133707')
('utt72551', 'utt72555')
('utt30182', 'utt30184')
('utt71230', 'utt71234')
('utt15691', 'utt15692')
('utt64393', 'utt64394')
('utt6852', 'utt6858')
('utt110689', 'utt110690')
('utt35527', 'utt35534')
('utt97477', 'utt97481')
('utt50557', 'utt50564')
('utt38047', 'utt38051')
('utt122597', 'utt122602')
('utt68775', 'utt68782')
('utt72735', 'utt72741')
('utt63163', 'utt63166')
('utt33443', 'utt33452')
('utt45836', 'utt45838')
('utt93504', 'utt93507')
('utt31130', 'utt31139')
('utt73713', 'utt73714')
('utt5828', 'utt5829')
('utt126262', 'utt126265')
('utt26585', 'utt26587')
('utt9801', 'utt9804')
('utt27863', 'utt27869')
('utt33042', 'utt33048')
('utt44829', 'utt44830')
('utt78389', 'utt78398')
('utt88278', 'utt88281')
('utt65982', 'utt65984')
('utt104705', 'utt104708')
('utt102936', 'utt102937')
('utt110120', 'utt110126')
('utt35478', 'utt35484')
('utt93894', 'utt93902')
('utt4406', 'utt4409')
('utt3993', 'utt3996')
('utt122504', 'utt122505')
('utt71775', 'utt71776')
('utt80512', 'utt80515')
('utt35273', 'utt35280')
('utt121637', 'utt121638')
('utt41501', 'utt41505')
('utt22263', 'utt22266')
('utt131698', 'utt131701')
('utt142433', 'utt142441')
('utt8930', 'utt8934')
('utt90593', 'utt90597')
('utt123485', 'utt123486')
('utt102129', 'utt102131')
('utt45840', 'utt45842')
('utt102874', 'utt102875')
('utt144374', 'utt144375')
('utt96934', 'utt96936')
('utt149221', 'utt149222')
('utt38564', 'utt38569')
('utt96879', 'utt96885')
('utt142082', 'utt142085')
('utt144443', 'utt144444')
('utt83106', 'utt83107')
('utt34275', 'utt34277')
('utt84061', 'utt84064')
('utt113918', 'utt113924')
('utt49373', 'utt49377')
('utt4405', 'utt4412')
('utt33449', 'utt33451')
('utt98791', 'utt98795')
('utt130712', 'utt130717')
('utt89136', 'utt89138')
('utt62091', 'utt62094')
('utt146612', 'utt146614')
('utt87859', 'utt87861')
('utt38513', 'utt38518')
('utt85785', 'utt85789')
('utt65198', 'utt65199')
('utt20296', 'utt20297')
('utt17117', 'utt17124')
('utt26484', 'utt26490')
('utt30488', 'utt30491')
('utt3555', 'utt3562')
('utt93321', 'utt93324')
('utt131894', 'utt131895')
('utt87540', 'utt87541')
('utt4543', 'utt4545')
('utt101566', 'utt101572')
('utt135626', 'utt135629')
('utt34947', 'utt34954')
('utt21344', 'utt21351')
('utt29952', 'utt29954')
('utt45245', 'utt45246')
('utt4816', 'utt4820')
('utt21559', 'utt21560')
('utt10301', 'utt10304')
('utt19033', 'utt19037')
('utt41269', 'utt41275')
('utt31832', 'utt31836')
('utt68034', 'utt68039')
('utt68033', 'utt68036')
('utt65111', 'utt65117')
('utt35350', 'utt35356')
('utt37348', 'utt37352')
('utt36633', 'utt36634')
('utt107144', 'utt107148')
('utt16466', 'utt16472')
('utt103972', 'utt103973')
('utt8443', 'utt8445')
('utt126985', 'utt126988')
('utt124998', 'utt125006')
('utt10467', 'utt10471')
('utt77781', 'utt77784')
('utt56974', 'utt56977')
('utt136730', 'utt136732')
('utt99632', 'utt99636')
('utt151987', 'utt151991')
('utt49515', 'utt49522')
('utt100337', 'utt100344')
('utt66884', 'utt66885')
('utt141772', 'utt141780')
('utt86036', 'utt86039')
('utt33855', 'utt33856')
('utt52588', 'utt52589')
('utt14930', 'utt14935')
('utt124140', 'utt124142')
('utt47266', 'utt47269')
('utt27230', 'utt27233')
('utt20874', 'utt20881')
('utt142261', 'utt142265')
('utt92160', 'utt92167')
('utt15527', 'utt15529')
('utt58588', 'utt58589')
('utt137520', 'utt137521')
('utt66108', 'utt66109')
('utt144377', 'utt144379')
('utt35350', 'utt35351')
('utt3216', 'utt3218')
('utt71774', 'utt71781')
('utt114396', 'utt114402')
('utt41402', 'utt41409')
('utt47265', 'utt47271')
('utt75498', 'utt75504')
('utt100513', 'utt100516')
('utt101093', 'utt101098')
('utt3365', 'utt3373')
('utt33944', 'utt33949')
('utt33293', 'utt33298')
('utt25917', 'utt25922')
('utt102562', 'utt102565')
('utt77531', 'utt77532')
('utt118915', 'utt118921')
('utt73856', 'utt73859')
('utt26220', 'utt26223')
('utt94427', 'utt94428')
('utt139959', 'utt139960')
('utt9097', 'utt9099')
('utt38047', 'utt38053')
('utt66409', 'utt66414')
('utt118912', 'utt118914')
('utt25918', 'utt25919')
('utt23412', 'utt23418')
('utt78449', 'utt78452')
('utt92313', 'utt92318')
('utt80509', 'utt80512')
('utt100575', 'utt100582')
('utt139078', 'utt139083')
('utt102133', 'utt102134')
('utt146244', 'utt146250')
('utt114692', 'utt114696')
('utt12291', 'utt12299')
('utt59385', 'utt59386')
('utt56641', 'utt56644')
('utt125850', 'utt125855')
('utt59979', 'utt59983')
('utt13756', 'utt13760')
('utt146755', 'utt146758')
('utt29185', 'utt29188')
('utt123965', 'utt123972')
('utt24350', 'utt24358')
('utt123578', 'utt123579')
('utt70021', 'utt70030')
('utt8987', 'utt8992')
('utt85193', 'utt85197')
('utt107264', 'utt107269')
('utt131898', 'utt131900')
('utt151213', 'utt151215')
('utt65792', 'utt65796')
('utt96476', 'utt96478')
('utt44263', 'utt44267')
('utt21087', 'utt21091')
('utt111945', 'utt111946')
('utt105566', 'utt105571')
('utt101903', 'utt101907')
('utt3553', 'utt3561')
('utt211', 'utt213')
('utt104334', 'utt104335')
('utt46953', 'utt46954')
('utt63545', 'utt63546')
('utt120566', 'utt120569')
('utt128170', 'utt128178')
('utt44064', 'utt44071')
('utt140171', 'utt140172')
('utt101279', 'utt101285')
('utt672', 'utt680')
('utt134806', 'utt134808')
('utt8821', 'utt8827')
('utt31885', 'utt31886')
('utt45347', 'utt45349')
('utt72627', 'utt72635')
('utt102190', 'utt102191')
('utt84', 'utt86')
('utt134359', 'utt134362')
('utt7933', 'utt7935')
('utt5887', 'utt5890')
('utt125103', 'utt125111')
('utt135260', 'utt135262')
('utt37446', 'utt37450')
('utt16371', 'utt16374')
('utt102130', 'utt102133')
('utt135631', 'utt135633')
('utt31765', 'utt31771')
('utt118058', 'utt118061')
('utt17117', 'utt17125')
('utt18309', 'utt18312')
('utt48857', 'utt48863')
('utt95980', 'utt95986')
('utt142938', 'utt142942')
('utt5829', 'utt5836')
('utt51234', 'utt51236')
('utt34415', 'utt34416')
('utt76883', 'utt76885')
('utt35279', 'utt35280')
('utt107919', 'utt107923')
('utt46084', 'utt46093')
('utt61550', 'utt61553')
('utt32794', 'utt32799')
('utt38692', 'utt38695')
('utt131896', 'utt131898')
('utt83303', 'utt83306')
('utt122301', 'utt122302')
('utt122700', 'utt122705')
('utt21557', 'utt21565')
('utt89681', 'utt89682')
('utt89189', 'utt89195')
('utt135543', 'utt135545')
('utt40630', 'utt40633')
('utt137315', 'utt137317')
('utt12067', 'utt12069')
('utt12065', 'utt12066')
('utt31763', 'utt31769')
('utt46771', 'utt46776')
('utt46950', 'utt46953')
('utt142181', 'utt142186')
('utt50870', 'utt50872')
('utt6722', 'utt6727')
('utt112041', 'utt112044')
('utt99631', 'utt99635')
('utt123576', 'utt123581')
('utt14265', 'utt14266')
('utt37855', 'utt37857')
('utt25712', 'utt25717')
('utt118390', 'utt118391')
('utt64060', 'utt64065')
('utt17682', 'utt17687')
('utt113832', 'utt113837')
('utt42799', 'utt42800')
('utt30178', 'utt30184')
('utt7940', 'utt7941')
('utt76269', 'utt76272')
('utt146752', 'utt146755')
('utt22177', 'utt22178')
('utt51306', 'utt51309')
('utt146525', 'utt146528')
('utt77645', 'utt77649')
('utt143138', 'utt143143')
('utt10894', 'utt10896')
('utt77', 'utt86')
('utt69050', 'utt69052')
('utt72734', 'utt72743')
('utt5538', 'utt5541')
('utt111004', 'utt111006')
('utt8334', 'utt8340')
('utt113016', 'utt113018')
('utt83012', 'utt83013')
('utt8050', 'utt8054')
('utt34277', 'utt34278')
('utt140447', 'utt140452')
('utt102563', 'utt102564')
('utt67109', 'utt67115')
('utt82466', 'utt82471')
('utt142439', 'utt142442')
('utt13204', 'utt13207')
('utt28456', 'utt28462')
('utt135626', 'utt135628')
('utt145838', 'utt145841')
('utt65980', 'utt65984')
('utt93405', 'utt93407')
('utt80507', 'utt80513')
('utt66792', 'utt66797')
('utt107581', 'utt107582')
('utt93090', 'utt93098')
('utt105351', 'utt105352')
('utt134868', 'utt134875')
('utt121014', 'utt121017')
('utt67434', 'utt67435')
('utt74188', 'utt74190')
('utt31770', 'utt31771')
('utt73006', 'utt73011')
('utt36790', 'utt36794')
('utt139705', 'utt139712')
('utt104808', 'utt104812')
('utt17046', 'utt17047')
('utt110809', 'utt110817')
('utt28911', 'utt28913')
('utt124537', 'utt124538')
('utt133270', 'utt133273')
('utt94430', 'utt94435')
('utt109672', 'utt109676')
('utt16599', 'utt16601')
('utt5539', 'utt5542')
('utt80891', 'utt80899')
('utt93717', 'utt93718')
('utt73525', 'utt73526')
('utt97559', 'utt97561')
('utt69726', 'utt69727')
('utt1244', 'utt1247')
('utt92042', 'utt92051')
('utt31600', 'utt31603')
('utt51784', 'utt51786')
('utt134586', 'utt134592')
('utt101278', 'utt101283')
('utt152310', 'utt152313')
('utt60159', 'utt60160')
('utt71235', 'utt71237')
('utt70377', 'utt70383')
('utt69821', 'utt69823')
('utt68774', 'utt68778')
('utt12353', 'utt12355')
('utt10714', 'utt10716')
('utt152963', 'utt152964')
('utt130081', 'utt130083')
('utt30111', 'utt30118')
('utt74345', 'utt74351')
('utt26655', 'utt26656')
('utt133170', 'utt133173')
('utt54738', 'utt54744')
('utt53733', 'utt53738')
('utt93851', 'utt93853')
('utt97002', 'utt97004')
('utt47937', 'utt47943')
('utt138767', 'utt138770')
('utt68240', 'utt68247')
('utt73210', 'utt73211')
('utt14697', 'utt14699')
('utt125850', 'utt125856')
('utt16798', 'utt16801')
('utt4671', 'utt4672')
('utt22123', 'utt22130')
('utt131511', 'utt131515')
('utt114989', 'utt114994')
('utt55556', 'utt55563')
('utt32039', 'utt32042')
('utt18309', 'utt18311')
('utt99803', 'utt99807')
('utt9731', 'utt9732')
('utt7054', 'utt7057')
('utt9196', 'utt9198')
('utt114396', 'utt114401')
('utt129976', 'utt129981')
('utt42960', 'utt42961')
('utt69819', 'utt69822')
('utt2789', 'utt2793')
('utt61812', 'utt61818')
('utt117541', 'utt117543')
('utt22809', 'utt22811')
('utt25193', 'utt25194')
('utt100342', 'utt100345')
('utt134354', 'utt134355')
('utt62499', 'utt62507')
('utt103896', 'utt103903')
('utt77389', 'utt77390')
('utt57304', 'utt57305')
('utt152135', 'utt152138')
('utt78443', 'utt78452')
('utt67848', 'utt67853')
('utt45250', 'utt45253')
('utt919', 'utt923')
('utt111496', 'utt111500')
('utt19236', 'utt19238')
('utt135544', 'utt135548')
('utt151929', 'utt151932')
('utt77865', 'utt77866')
('utt38569', 'utt38570')
('utt48860', 'utt48862')
('utt107759', 'utt107761')
('utt43812', 'utt43814')
('utt76592', 'utt76597')
('utt54629', 'utt54633')
('utt37448', 'utt37451')
('utt105348', 'utt105353')
('utt44484', 'utt44485')
('utt80507', 'utt80510')
('utt45552', 'utt45553')
('utt88147', 'utt88150')
('utt42958', 'utt42960')
('utt23891', 'utt23893')
('utt48981', 'utt48984')
('utt152702', 'utt152706')
('utt112645', 'utt112646')
('utt26218', 'utt26224')
('utt17902', 'utt17905')
('utt70378', 'utt70380')
('utt13759', 'utt13760')
('utt84963', 'utt84965')
('utt113919', 'utt113924')
('utt99851', 'utt99853')
('utt129051', 'utt129054')
('utt145457', 'utt145460')
('utt46663', 'utt46665')
('utt64849', 'utt64856')
('utt40627', 'utt40630')
('utt9804', 'utt9805')
('utt96753', 'utt96754')
('utt37446', 'utt37448')
('utt16119', 'utt16127')
('utt3555', 'utt3556')
('utt136281', 'utt136286')
('utt117674', 'utt117675')
('utt84062', 'utt84068')
('utt21930', 'utt21931')
('utt34097', 'utt34098')
('utt98057', 'utt98066')
('utt25872', 'utt25873')
('utt79409', 'utt79417')
('utt107262', 'utt107266')
('utt102196', 'utt102199')
('utt146814', 'utt146819')
('utt104401', 'utt104409')
('utt57638', 'utt57641')
('utt69732', 'utt69735')
('utt151714', 'utt151720')
('utt22806', 'utt22815')
('utt136462', 'utt136470')
('utt2198', 'utt2207')
('utt73715', 'utt73717')
('utt7450', 'utt7456')
('utt122596', 'utt122599')
('utt65046', 'utt65053')
('utt137310', 'utt137319')
('utt96426', 'utt96427')
('utt89590', 'utt89593')
('utt127955', 'utt127957')
('utt21556', 'utt21560')
('utt55564', 'utt55565')
('utt85267', 'utt85273')
('utt88056', 'utt88062')
('utt39488', 'utt39493')
('utt51412', 'utt51415')
('utt150094', 'utt150100')
('utt24733', 'utt24742')
('utt80783', 'utt80789')
('utt73061', 'utt73062')
('utt122864', 'utt122869')
('utt83610', 'utt83613')
('utt7453', 'utt7455')
('utt40087', 'utt40091')
('utt8235', 'utt8237')
('utt77327', 'utt77330')
('utt86783', 'utt86789')
('utt28177', 'utt28183')
('utt56261', 'utt56267')
('utt115216', 'utt115217')
('utt1241', 'utt1246')
('utt80447', 'utt80449')
('utt72482', 'utt72489')
('utt149747', 'utt149749')
('utt46559', 'utt46563')
('utt20767', 'utt20773')
('utt123256', 'utt123257')
('utt147580', 'utt147584')
('utt124304', 'utt124306')
('utt136850', 'utt136856')
('utt47027', 'utt47029')
('utt55384', 'utt55389')
('utt149655', 'utt149658')
('utt55961', 'utt55969')
('utt97178', 'utt97181')
('utt151068', 'utt151069')
('utt41133', 'utt41135')
('utt65978', 'utt65979')
('utt77976', 'utt77978')
('utt24352', 'utt24354')
('utt30756', 'utt30757')
('utt97177', 'utt97181')
('utt101042', 'utt101043')
('utt16666', 'utt16667')
('utt26349', 'utt26353')
('utt13809', 'utt13813')
('utt79867', 'utt79869')
('utt52941', 'utt52943')
('utt43810', 'utt43818')
('utt59598', 'utt59602')
('utt22260', 'utt22263')
('utt7934', 'utt7936')
('utt121638', 'utt121642')
('utt66970', 'utt66974')
('utt92372', 'utt92374')
('utt56969', 'utt56973')
('utt56909', 'utt56915')
('utt75183', 'utt75190')
('utt57755', 'utt57757')
('utt111499', 'utt111500')
('utt77784', 'utt77786')
('utt120489', 'utt120494')
('utt15291', 'utt15292')
('utt149517', 'utt149526')
('utt45975', 'utt45978')
('utt105568', 'utt105570')
('utt79964', 'utt79972')
('utt64622', 'utt64625')
('utt37591', 'utt37598')
('utt125619', 'utt125621')
('utt17050', 'utt17051')
('utt120082', 'utt120083')
('utt82664', 'utt82667')
('utt105689', 'utt105693')
('utt152704', 'utt152710')
('utt39584', 'utt39590')
('utt215', 'utt216')
('utt32141', 'utt32148')
('utt133069', 'utt133072')
('utt4907', 'utt4910')
('utt31887', 'utt31888')
('utt89195', 'utt89198')
('utt80891', 'utt80894')
('utt110119', 'utt110126')
('utt18307', 'utt18310')
('utt35085', 'utt35093')
('utt75786', 'utt75787')
('utt27006', 'utt27011')
('utt126058', 'utt126062')
('utt44776', 'utt44777')
('utt56856', 'utt56861')
('utt67844', 'utt67848')
('utt92163', 'utt92165')
('utt61691', 'utt61692')
('utt49044', 'utt49045')
('utt123256', 'utt123259')
('utt40091', 'utt40093')
('utt105057', 'utt105059')
('utt116488', 'utt116493')
('utt138005', 'utt138009')
('utt64062', 'utt64063')
('utt101280', 'utt101282')
('utt65792', 'utt65795')
('utt116573', 'utt116575')
('utt2125', 'utt2126')
('utt102135', 'utt102136')
('utt29999', 'utt30005')
('utt51959', 'utt51964')
('utt142089', 'utt142091')
('utt83783', 'utt83790')
('utt105302', 'utt105303')
('utt98002', 'utt98008')
('utt35355', 'utt35357')
('utt15698', 'utt15699')
('utt31767', 'utt31770')
('utt117462', 'utt117468')
('utt111888', 'utt111891')
('utt36148', 'utt36156')
('utt132096', 'utt132097')
('utt19353', 'utt19360')
('utt102427', 'utt102431')
('utt132854', 'utt132855')
('utt129211', 'utt129212')
('utt88421', 'utt88425')
('utt10834', 'utt10836')
('utt149327', 'utt149330')
('utt105685', 'utt105686')
('utt9458', 'utt9463')
('utt18645', 'utt18647')
('utt55895', 'utt55898')
('utt50106', 'utt50109')
('utt96140', 'utt96147')
('utt55299', 'utt55302')
('utt57753', 'utt57756')
('utt49940', 'utt49943')
('utt133173', 'utt133174')
('utt111103', 'utt111108')
('utt80058', 'utt80059')
('utt61979', 'utt61982')
('utt97888', 'utt97890')
('utt124998', 'utt125002')
('utt35177', 'utt35180')
('utt49936', 'utt49943')
('utt21087', 'utt21088')
('utt146244', 'utt146246')
('utt67545', 'utt67549')
('utt102876', 'utt102878')
('utt6184', 'utt6187')
('utt79965', 'utt79972')
('utt80511', 'utt80514')
('utt61817', 'utt61819')
('utt78568', 'utt78570')
('utt86787', 'utt86790')
('utt150025', 'utt150029')
('utt105839', 'utt105843')
('utt5283', 'utt5285')
('utt13114', 'utt13122')
('utt107262', 'utt107267')
('utt21643', 'utt21649')
('utt35479', 'utt35486')
('utt8822', 'utt8826')
('utt57046', 'utt57048')
('utt6373', 'utt6376')
('utt35352', 'utt35356')
('utt97886', 'utt97895')
('utt861', 'utt862')
('utt5138', 'utt5144')
('utt99407', 'utt99415')
('utt36453', 'utt36455')
('utt3367', 'utt3371')
('utt79921', 'utt79925')
('utt8049', 'utt8050')
('utt40495', 'utt40497')
('utt97363', 'utt97368')
('utt111888', 'utt111895')
('utt59777', 'utt59779')
('utt131510', 'utt131513')
('utt88427', 'utt88428')
('utt56911', 'utt56913')
('utt10893', 'utt10900')
('utt146999', 'utt147000')
('utt80062', 'utt80064')
('utt58582', 'utt58583')
('utt74523', 'utt74531')
('utt150182', 'utt150189')
('utt71449', 'utt71452')
('utt52770', 'utt52772')
('utt72143', 'utt72150')
('utt131696', 'utt131699')
('utt83183', 'utt83185')
('utt46281', 'utt46286')
('utt73062', 'utt73067')
('utt69941', 'utt69946')
('utt8443', 'utt8450')
('utt140453', 'utt140455')
('utt33946', 'utt33949')
('utt45607', 'utt45608')
('utt60752', 'utt60758')
('utt74738', 'utt74742')
('utt39961', 'utt39964')
('utt107756', 'utt107760')
('utt13691', 'utt13693')
('utt138770', 'utt138771')
('utt13210', 'utt13211')
('utt88481', 'utt88484')
('utt124206', 'utt124211')
('utt126269', 'utt126270')
('utt41008', 'utt41017')
('utt137735', 'utt137742')
('utt67438', 'utt67439')
('utt39891', 'utt39894')
('utt140024', 'utt140026')
('utt121638', 'utt121643')
('utt120076', 'utt120078')
('utt153455', 'utt153456')
('utt83', 'utt86')
('utt79966', 'utt79971')
('utt124531', 'utt124539')
('utt97999', 'utt98008')
('utt80656', 'utt80663')
('utt97426', 'utt97434')
('utt81210', 'utt81217')
('utt79916', 'utt79920')
('utt85325', 'utt85330')
('utt88648', 'utt88649')
('utt107754', 'utt107760')
('utt98001', 'utt98005')
('utt73523', 'utt73527')
('utt120493', 'utt120494')
('utt104809', 'utt104812')
('utt120488', 'utt120496')
('utt9144', 'utt9146')
('utt83471', 'utt83475')
('utt151927', 'utt151933')
('utt89189', 'utt89190')
('utt149654', 'utt149659')
('utt141331', 'utt141338')
('utt25456', 'utt25461')
('utt11230', 'utt11235')
('utt62093', 'utt62095')
('utt30114', 'utt30117')
('utt44324', 'utt44328')
('utt12353', 'utt12354')
('utt91401', 'utt91406')
('utt120642', 'utt120643')
('utt65197', 'utt65202')
('utt59670', 'utt59674')
('utt58584', 'utt58588')
('utt152207', 'utt152208')
('utt31432', 'utt31434')
('utt69823', 'utt69825')
('utt50971', 'utt50976')
('utt129264', 'utt129266')
('utt147871', 'utt147873')
('utt49042', 'utt49046')
('utt86784', 'utt86786')
('utt143234', 'utt143238')
('utt14695', 'utt14700')
('utt8820', 'utt8822')
('utt76787', 'utt76794')
('utt20635', 'utt20638')
('utt118053', 'utt118057')
('utt7501', 'utt7502')
('utt80145', 'utt80147')
('utt20768', 'utt20771')
('utt66791', 'utt66795')
('utt106832', 'utt106833')
('utt126477', 'utt126478')
('utt120206', 'utt120209')
('utt121788', 'utt121789')
('utt88281', 'utt88286')
('utt81618', 'utt81625')
('utt23020', 'utt23022')
('utt114445', 'utt114454')
('utt46508', 'utt46511')
('utt22941', 'utt22945')
('utt85935', 'utt85937')
('utt92676', 'utt92678')
('utt58408', 'utt58413')
('utt30112', 'utt30113')
('utt138124', 'utt138127')
('utt23267', 'utt23268')
('utt87733', 'utt87737')
('utt46280', 'utt46286')
('utt105836', 'utt105840')
('utt63702', 'utt63704')
('utt113286', 'utt113289')
('utt100242', 'utt100243')
('utt11005', 'utt11010')
('utt44769', 'utt44775')
('utt103207', 'utt103208')
('utt137928', 'utt137932')
('utt40091', 'utt40092')
('utt133704', 'utt133706')
('utt8230', 'utt8237')
('utt67437', 'utt67440')
('utt27358', 'utt27366')
('utt136468', 'utt136469')
('utt145887', 'utt145891')
('utt137522', 'utt137527')
('utt8990', 'utt8991')
('utt87538', 'utt87540')
('utt128736', 'utt128743')
('utt106201', 'utt106205')
('utt44483', 'utt44489')
('utt53408', 'utt53414')
('utt57305', 'utt57308')
('utt63700', 'utt63704')
('utt79315', 'utt79316')
('utt33527', 'utt33534')
('utt110121', 'utt110126')
('utt26485', 'utt26486')
('utt66970', 'utt66977')
('utt79803', 'utt79807')
('utt71183', 'utt71190')
('utt139181', 'utt139188')
('utt74140', 'utt74148')
('utt141329', 'utt141335')
('utt95464', 'utt95465')
('utt56642', 'utt56646')
('utt48556', 'utt48561')
('utt37351', 'utt37354')
('utt114396', 'utt114398')
('utt4404', 'utt4413')
('utt38048', 'utt38056')
('utt77862', 'utt77864')
('utt46458', 'utt46464')
('utt140723', 'utt140727')
('utt32303', 'utt32305')
('utt63543', 'utt63550')
('utt26223', 'utt26225')
('utt146750', 'utt146755')
('utt10467', 'utt10473')
('utt130534', 'utt130537')
('utt61385', 'utt61387')
('utt39963', 'utt39966')
('utt130667', 'utt130670')
('utt19620', 'utt19621')
('utt89435', 'utt89440')
('utt91772', 'utt91778')
('utt55305', 'utt55306')
('utt4539', 'utt4547')
('utt22123', 'utt22129')
('utt78625', 'utt78629')
('utt85788', 'utt85790')
('utt31707', 'utt31712')
('utt50040', 'utt50042')
('utt140864', 'utt140866')
('utt44932', 'utt44933')
('utt129139', 'utt129144')
('utt39102', 'utt39109')
('utt146310', 'utt146313')
('utt114841', 'utt114848')
('utt9796', 'utt9800')
('utt64518', 'utt64519')
('utt27091', 'utt27096')
('utt82663', 'utt82670')
('utt19717', 'utt19721')
('utt14640', 'utt14643')
('utt13499', 'utt13501')
('utt79411', 'utt79412')
('utt32300', 'utt32305')
('utt67340', 'utt67341')
('utt41756', 'utt41759')
('utt384', 'utt388')
('utt4406', 'utt4407')
('utt143393', 'utt143396')
('utt22394', 'utt22396')
('utt10351', 'utt10352')
('utt121639', 'utt121645')
('utt78965', 'utt78971')
('utt22258', 'utt22267')
('utt73858', 'utt73859')
('utt56010', 'utt56013')
('utt36790', 'utt36795')
('utt143739', 'utt143740')
('utt23589', 'utt23592')
('utt83113', 'utt83115')
('utt51416', 'utt51417')
('utt100934', 'utt100936')
('utt35272', 'utt35277')
('utt80656', 'utt80661')
('utt102643', 'utt102645')
('utt122300', 'utt122305')
('utt117464', 'utt117465')
('utt126479', 'utt126483')
('utt19124', 'utt19127')
('utt64063', 'utt64069')
('utt38516', 'utt38518')
('utt20633', 'utt20638')
('utt83836', 'utt83837')
('utt102567', 'utt102568')
('utt66969', 'utt66972')
('utt95033', 'utt95038')
('utt14781', 'utt14784')
('utt15691', 'utt15696')
('utt24639', 'utt24640')
('utt92739', 'utt92742')
('utt104330', 'utt104333')
('utt26586', 'utt26590')
('utt17051', 'utt17053')
('utt9150', 'utt9151')
('utt92739', 'utt92741')
('utt129139', 'utt129142')
('utt125559', 'utt125561')
('utt18452', 'utt18454')
('utt145960', 'utt145963')
('utt22180', 'utt22183')
('utt54109', 'utt54115')
('utt41642', 'utt41644')
('utt93715', 'utt93717')
('utt143236', 'utt143241')
('utt106722', 'utt106725')
('utt8444', 'utt8447')
('utt28457', 'utt28461')
('utt41403', 'utt41404')
('utt68870', 'utt68873')
('utt56139', 'utt56140')
