('utt121636', 'utt47785')
('utt106554', 'utt21759')
('utt1298', 'utt78632')
('utt113476', 'utt20301')
('utt99142', 'utt88835')
('utt152757', 'utt38186')
('utt47336', 'utt33048')
('utt72245', 'utt71912')
('utt14786', 'utt44825')
('utt79872', 'utt99300')
('utt149280', 'utt101094')
('utt90592', 'utt60297')
('utt49654', 'utt123059')
('utt101284', 'utt30756')
('utt64220', 'utt3423')
('utt114402', 'utt94682')
('utt12298', 'utt22879')
('utt95336', 'utt31707')
('utt131901', 'utt80661')
('utt100517', 'utt108815')
('utt95558', 'utt142942')
('utt136852', 'utt136812')
('utt53411', 'utt21643')
('utt50108', 'utt107142')
('utt41500', 'utt68106')
('utt57046', 'utt87046')
('utt6046', 'utt144447')
('utt131943', 'utt137524')
('utt3219', 'utt109211')
('utt139964', 'utt85269')
('utt111102', 'utt74532')
('utt59493', 'utt152961')
('utt32795', 'utt100515')
('utt39961', 'utt44328')
('utt29049', 'utt43242')
('utt76138', 'utt55707')
('utt8989', 'utt97431')
('utt32725', 'utt135253')
('utt131360', 'utt85793')
('utt45252', 'utt51304')
('utt127383', 'utt122600')
('utt75984', 'utt20765')
('utt37345', 'utt104047')
('utt138006', 'utt37068')
('utt93901', 'utt123743')
('utt55385', 'utt64068')
('utt142626', 'utt19941')
('utt13691', 'utt132103')
('utt78624', 'utt135262')
('utt5289', 'utt548')
('utt27099', 'utt6258')
('utt15522', 'utt73215')
('utt131402', 'utt131808')
('utt27227', 'utt134867')
('utt42965', 'utt103207')
('utt89926', 'utt65924')
('utt131808', 'utt28568')
('utt59667', 'utt142842')
('utt30118', 'utt55558')
('utt58033', 'utt129211')
('utt150776', 'utt59496')
('utt140029', 'utt62886')
('utt7942', 'utt84282')
('utt83790', 'utt85862')
('utt139346', 'utt40494')
('utt30935', 'utt80334')
('utt113019', 'utt18252')
('utt140093', 'utt66973')
('utt6260', 'utt6727')
('utt95422', 'utt91852')
('utt73312', 'utt99726')
('utt58590', 'utt13761')
('utt45249', 'utt86604')
('utt13760', 'utt56517')
('utt110755', 'utt133614')
('utt11888', 'utt23590')
('utt6258', 'utt128553')
('utt29050', 'utt78576')
('utt98503', 'utt144382')
('utt133331', 'utt38431')
('utt106157', 'utt52673')
('utt4816', 'utt102640')
('utt117465', 'utt56011')
('utt11887', 'utt58581')
('utt14936', 'utt74346')
('utt135716', 'utt75272')
('utt59489', 'utt124140')
('utt116490', 'utt106777')
('utt87741', 'utt32723')
('utt141390', 'utt8820')
('utt89548', 'utt107756')
('utt138009', 'utt54472')
('utt61275', 'utt14639')
('utt134938', 'utt15526')
('utt96474', 'utt141624')
('utt58808', 'utt38187')
('utt4677', 'utt50873')
('utt56640', 'utt106555')
('utt67117', 'utt124204')
('utt118916', 'utt12200')
('utt22732', 'utt137847')
('utt120423', 'utt95335')
('utt138684', 'utt87043')
('utt151074', 'utt44777')
('utt63607', 'utt116161')
('utt68680', 'utt76268')
('utt93501', 'utt26351')
('utt91858', 'utt124886')
('utt24350', 'utt19936')
('utt18789', 'utt55706')
('utt6261', 'utt22812')
('utt61388', 'utt77012')
('utt12802', 'utt143472')
('utt41269', 'utt21294')
('utt103209', 'utt133388')
('utt134941', 'utt56326')
('utt20768', 'utt6')
('utt74191', 'utt2793')
('utt139082', 'utt41651')
('utt4677', 'utt140178')
('utt68674', 'utt138008')
('utt26349', 'utt49663')
('utt28378', 'utt75274')
('utt86268', 'utt80449')
('utt120425', 'utt14698')
('utt80663', 'utt9146')
('utt86542', 'utt83177')
('utt65054', 'utt9462')
('utt71125', 'utt39494')
('utt3509', 'utt78022')
('utt25716', 'utt106554')
('utt6719', 'utt52947')
('utt7779', 'utt81620')
('utt60758', 'utt78574')
('utt20258', 'utt17510')
('utt86540', 'utt20636')
('utt66490', 'utt82667')
('utt138868', 'utt87535')
('utt56449', 'utt93614')
('utt151658', 'utt59597')
('utt62453', 'utt55819')
('utt23953', 'utt114629')
('utt151071', 'utt100098')
('utt86044', 'utt116292')
('utt78849', 'utt107584')
('utt24563', 'utt134360')
('utt91856', 'utt120646')
('utt20702', 'utt82930')
('utt143925', 'utt98379')
('utt137012', 'utt142945')
('utt116573', 'utt58031')
('utt56326', 'utt60750')
('utt71846', 'utt113834')
('utt89255', 'utt54884')
('utt9200', 'utt15083')
('utt37858', 'utt41273')
('utt93506', 'utt1244')
('utt114840', 'utt139183')
('utt151547', 'utt46467')
('utt3294', 'utt74791')
('utt92960', 'utt58586')
('utt54113', 'utt90273')
('utt140243', 'utt9566')
('utt56640', 'utt49662')
('utt22125', 'utt116815')
('utt75709', 'utt78015')
('utt56262', 'utt101284')
('utt139341', 'utt3291')
('utt107525', 'utt50331')
('utt94823', 'utt13117')
('utt71845', 'utt36147')
('utt55706', 'utt5139')
('utt139181', 'utt89197')
('utt6857', 'utt148292')
('utt148891', 'utt17051')
('utt145962', 'utt38512')
('utt142623', 'utt51409')
('utt8155', 'utt14696')
('utt120492', 'utt96475')
('utt128676', 'utt111002')
('utt16247', 'utt2201')
('utt13501', 'utt44826')
('utt44065', 'utt118173')
('utt87669', 'utt50876')
('utt10473', 'utt149660')
('utt83834', 'utt92166')
('utt130295', 'utt74932')
('utt143147', 'utt47945')
('utt115432', 'utt49656')
('utt43564', 'utt20642')
('utt149741', 'utt133833')
('utt8449', 'utt63802')
('utt50043', 'utt46279')
('utt102564', 'utt62357')
('utt56914', 'utt61119')
('utt12354', 'utt139899')
('utt110262', 'utt15291')
('utt33528', 'utt138537')
('utt31436', 'utt145894')
('utt114918', 'utt15152')
('utt52827', 'utt21087')
('utt32431', 'utt133068')
('utt25194', 'utt61819')
('utt83305', 'utt123746')
('utt74525', 'utt151322')
('utt51737', 'utt35837')
('utt128556', 'utt6325')
('utt131702', 'utt39109')
('utt48444', 'utt113011')
('utt68519', 'utt117466')
('utt67547', 'utt121015')
('utt82928', 'utt42965')
('utt78632', 'utt29051')
('utt129261', 'utt52771')
('utt32790', 'utt78571')
('utt139075', 'utt73580')
('utt146523', 'utt56332')
('utt85867', 'utt78688')
('utt34947', 'utt109892')
('utt116207', 'utt96885')
('utt3793', 'utt22811')
('utt33230', 'utt67346')
('utt99727', 'utt89587')
('utt21350', 'utt140548')
('utt15385', 'utt49191')
('utt35356', 'utt41275')
('utt59980', 'utt16973')
('utt71777', 'utt126725')
('utt12066', 'utt118387')
('utt135259', 'utt140382')
('utt39155', 'utt63805')
('utt23416', 'utt73585')
('utt2793', 'utt49894')
('utt81856', 'utt16602')
('utt72246', 'utt142939')
('utt72302', 'utt139349')
('utt52586', 'utt495')
('utt42963', 'utt59983')
('utt14269', 'utt6727')
('utt59321', 'utt61978')
('utt37529', 'utt98207')
('utt153458', 'utt1702')
('utt41850', 'utt123816')
('utt91853', 'utt38432')
('utt93714', 'utt96756')
('utt33532', 'utt39584')
('utt147519', 'utt55895')
('utt77389', 'utt34142')
('utt73585', 'utt133267')
('utt77071', 'utt120207')
('utt85935', 'utt111007')
('utt53222', 'utt68521')
('utt74738', 'utt120569')
('utt84961', 'utt116891')
('utt99724', 'utt56798')
('utt23812', 'utt142087')
('utt101387', 'utt95983')
('utt77870', 'utt131293')
('utt78973', 'utt123969')
('utt72636', 'utt71131')
('utt91219', 'utt117464')
('utt76267', 'utt130083')
('utt109467', 'utt142626')
('utt86041', 'utt56799')
('utt151544', 'utt121098')
('utt13497', 'utt139184')
('utt133382', 'utt31770')
('utt147871', 'utt99511')
('utt140724', 'utt129633')
('utt97065', 'utt97807')
('utt131358', 'utt6585')
('utt138539', 'utt96429')
('utt78855', 'utt35090')
('utt72740', 'utt47027')
('utt69819', 'utt9955')
('utt85788', 'utt74590')
('utt31036', 'utt153377')
('utt57893', 'utt81686')
('utt96928', 'utt57170')
('utt83012', 'utt48442')
('utt15650', 'utt69609')
('utt53154', 'utt33445')
('utt95419', 'utt113840')
('utt112040', 'utt77332')
('utt66487', 'utt97813')
('utt3425', 'utt82669')
('utt27947', 'utt40316')
('utt152548', 'utt147935')
('utt139237', 'utt102568')
('utt131810', 'utt44829')
('utt27361', 'utt121018')
('utt102197', 'utt979')
('utt89257', 'utt73710')
('utt144261', 'utt4263')
('utt63051', 'utt139349')
('utt97177', 'utt52106')
('utt65111', 'utt25592')
('utt106207', 'utt94750')
('utt88565', 'utt25199')
('utt66568', 'utt30820')
('utt114332', 'utt1244')
('utt50563', 'utt125621')
('utt14785', 'utt111102')
('utt32426', 'utt16663')
('utt152311', 'utt26224')
('utt68580', 'utt55464')
('utt144255', 'utt135542')
('utt17257', 'utt29642')
('utt88565', 'utt22398')
('utt75265', 'utt106832')
('utt52152', 'utt111894')
('utt40187', 'utt80659')
('utt19719', 'utt31030')
('utt6373', 'utt81859')
('utt8449', 'utt1853')
('utt77389', 'utt133713')
('utt31833', 'utt129144')
('utt72245', 'utt50561')
('utt49944', 'utt127963')
('utt123577', 'utt58081')
('utt145213', 'utt114331')
('utt22943', 'utt147296')
('utt381', 'utt76793')
('utt9148', 'utt129261')
('utt31275', 'utt51958')
('utt44552', 'utt104051')
('utt14833', 'utt88279')
('utt102193', 'utt16122')
('utt29499', 'utt146613')
('utt68039', 'utt81333')
('utt105691', 'utt105569')
('utt147580', 'utt114917')
('utt53733', 'utt36452')
('utt71968', 'utt34947')
('utt151713', 'utt114447')
('utt63257', 'utt42800')
('utt55467', 'utt97559')
('utt97426', 'utt153378')
('utt111503', 'utt101098')
('utt152210', 'utt25458')
('utt8340', 'utt4815')
('utt35278', 'utt138306')
('utt74744', 'utt146751')
('utt102428', 'utt29192')
('utt82053', 'utt74933')
('utt137318', 'utt4266')
('utt153168', 'utt41847')
('utt60297', 'utt109677')
('utt62099', 'utt133334')
('utt17686', 'utt79416')
('utt146121', 'utt150729')
('utt22440', 'utt104327')
('utt107263', 'utt120330')
('utt16172', 'utt16719')
('utt121363', 'utt75977')
('utt82718', 'utt10553')
('utt59136', 'utt381')
('utt99054', 'utt104808')
('utt23953', 'utt52148')
('utt116091', 'utt136687')
('utt132319', 'utt7939')
('utt122705', 'utt88837')
('utt114327', 'utt32150')
('utt48787', 'utt26796')
('utt84061', 'utt8937')
('utt150397', 'utt94823')
('utt32663', 'utt10837')
('utt42260', 'utt62098')
('utt69734', 'utt5139')
('utt124535', 'utt72628')
('utt22259', 'utt24561')
('utt138538', 'utt100518')
('utt78445', 'utt55767')
('utt22730', 'utt26795')
('utt49191', 'utt142802')
('utt101635', 'utt114453')
('utt87538', 'utt39672')
('utt149658', 'utt136566')
('utt44489', 'utt33046')
('utt23025', 'utt135105')
('utt57694', 'utt134358')
('utt16298', 'utt44551')
('utt101089', 'utt153462')
('utt142265', 'utt132104')
('utt42562', 'utt118992')
('utt90351', 'utt153462')
('utt83244', 'utt101909')
('utt73212', 'utt16120')
('utt151659', 'utt20634')
('utt55707', 'utt143397')
('utt85939', 'utt57488')
('utt52675', 'utt28375')
('utt22439', 'utt138874')
('utt142627', 'utt128816')
('utt19126', 'utt58408')
('utt14699', 'utt90069')
('utt57644', 'utt68244')
('utt77330', 'utt41408')
('utt27861', 'utt32034')
('utt126983', 'utt64215')
('utt105922', 'utt118683')
('utt18647', 'utt95416')
('utt139182', 'utt9321')
('utt56324', 'utt142441')
('utt31834', 'utt27013')
('utt211', 'utt88566')
('utt77066', 'utt108813')
('utt72302', 'utt55033')
('utt96599', 'utt7058')
('utt88837', 'utt80147')
('utt112703', 'utt72247')
('utt24739', 'utt48443')
('utt99052', 'utt121014')
('utt121960', 'utt35175')
('utt48778', 'utt54369')
('utt12142', 'utt149749')
('utt97062', 'utt56911')
('utt147207', 'utt73714')
('utt135323', 'utt5139')
('utt14070', 'utt678')
('utt86943', 'utt112173')
('utt66976', 'utt137931')
('utt101782', 'utt47028')
('utt76136', 'utt90271')
('utt17261', 'utt152314')
('utt104965', 'utt148294')
('utt86038', 'utt12505')
('utt14937', 'utt129984')
('utt27363', 'utt59849')
('utt25194', 'utt91943')
('utt69180', 'utt16176')
('utt117463', 'utt18252')
('utt90274', 'utt7060')
('utt87100', 'utt39111')
('utt66679', 'utt10400')
('utt17119', 'utt53299')
('utt109895', 'utt91853')
('utt137934', 'utt46664')
('utt150593', 'utt109898')
('utt121892', 'utt22635')
('utt116818', 'utt4081')
('utt75978', 'utt118296')
('utt9195', 'utt3793')
('utt97129', 'utt139612')
('utt93710', 'utt131898')
('utt134064', 'utt96604')
('utt60758', 'utt16965')
('utt71689', 'utt133389')
('utt79690', 'utt105062')
('utt28120', 'utt67486')
('utt151545', 'utt39590')
('utt89930', 'utt106731')
('utt127823', 'utt26794')
('utt61180', 'utt83388')
('utt92161', 'utt87097')
('utt4977', 'utt128013')
('utt67111', 'utt127957')
('utt111206', 'utt128276')
('utt80663', 'utt51233')
('utt67848', 'utt147681')
('utt32790', 'utt91936')
('utt16180', 'utt53542')
('utt107926', 'utt95209')
('utt125980', 'utt20883')
('utt77787', 'utt73066')
('utt140240', 'utt78848')
('utt83012', 'utt93553')
('utt99413', 'utt29049')
('utt20773', 'utt30493')
('utt61436', 'utt67544')
('utt106636', 'utt42261')
('utt28461', 'utt65115')
('utt81260', 'utt62992')
('utt133617', 'utt52519')
('utt95422', 'utt95563')
('utt97366', 'utt116160')
('utt135707', 'utt38768')
('utt89252', 'utt147001')
('utt116283', 'utt139078')
('utt71238', 'utt76881')
('utt144000', 'utt95657')
('utt98210', 'utt95789')
('utt74741', 'utt104620')
('utt95786', 'utt145958')
('utt53152', 'utt2796')
('utt147585', 'utt25864')
('utt99805', 'utt124075')
('utt76944', 'utt21093')
('utt7302', 'utt40630')
('utt130174', 'utt67113')
('utt53409', 'utt67346')
('utt141331', 'utt62890')
('utt131621', 'utt4902')
('utt90588', 'utt51734')
('utt42564', 'utt85704')
('utt108745', 'utt38696')
('utt37596', 'utt37128')
('utt41498', 'utt30180')
('utt93505', 'utt37120')
('utt8822', 'utt81265')
('utt151215', 'utt6586')
('utt73708', 'utt120844')
('utt139242', 'utt133169')
('utt4539', 'utt42570')
('utt123745', 'utt56266')
('utt149165', 'utt39151')
('utt10190', 'utt82717')
('utt86942', 'utt57593')
('utt16372', 'utt81166')
('utt116652', 'utt138539')
('utt67251', 'utt147399')
('utt18452', 'utt81972')
('utt82764', 'utt25917')
('utt58182', 'utt23021')
('utt62450', 'utt36451')
('utt79320', 'utt72243')
('utt143243', 'utt116758')
('utt118985', 'utt108624')
('utt113541', 'utt47336')
('utt6047', 'utt36454')
('utt70076', 'utt150093')
('utt128465', 'utt96880')
('utt6378', 'utt90348')
('utt65533', 'utt124771')
('utt39960', 'utt130980')
('utt78851', 'utt2936')
('utt25922', 'utt129210')
('utt30759', 'utt12146')
('utt115879', 'utt125729')
('utt42964', 'utt79690')
('utt85193', 'utt146309')
('utt30824', 'utt4904')
('utt149279', 'utt133073')
('utt150770', 'utt16297')
('utt34146', 'utt9730')
('utt67184', 'utt102192')
('utt6', 'utt8046')
('utt5136', 'utt153372')
('utt129629', 'utt45152')
('utt77535', 'utt25594')
('utt41954', 'utt114394')
('utt74191', 'utt142944')
('utt10398', 'utt13808')
('utt62592', 'utt33850')
('utt46616', 'utt137521')
('utt109216', 'utt109677')
('utt97008', 'utt73217')
('utt60751', 'utt83783')
('utt28177', 'utt138124')
('utt101779', 'utt80654')
('utt110260', 'utt52517')
('utt142188', 'utt140930')
('utt104616', 'utt143236')
('utt16371', 'utt14397')
('utt7775', 'utt61390')
('utt46662', 'utt124771')
('utt147932', 'utt38696')
('utt31833', 'utt85190')
('utt12202', 'utt59674')
('utt57755', 'utt115680')
('utt63543', 'utt141196')
('utt49733', 'utt138005')
('utt56331', 'utt35879')
('utt107522', 'utt18572')
('utt5541', 'utt133171')
('utt78900', 'utt43564')
('utt149660', 'utt56522')
('utt63051', 'utt14271')
('utt56138', 'utt122502')
('utt77324', 'utt101097')
('utt130666', 'utt100338')
('utt98207', 'utt58585')
('utt76142', 'utt22811')
('utt59976', 'utt12201')
('utt96935', 'utt64064')
('utt42417', 'utt117470')
('utt82387', 'utt50328')
('utt35883', 'utt75190')
('utt51483', 'utt63704')
('utt81160', 'utt110259')
('utt100414', 'utt96141')
('utt32035', 'utt71186')
('utt41843', 'utt136278')
('utt66972', 'utt27096')
('utt44259', 'utt37860')
('utt107584', 'utt47784')
('utt120571', 'utt151212')
('utt75191', 'utt81165')
('utt77331', 'utt151074')
('utt78625', 'utt141193')
('utt2126', 'utt63944')
('utt106979', 'utt8825')
('utt62206', 'utt14784')
('utt127282', 'utt54370')
('utt78629', 'utt109898')
('utt48019', 'utt146616')
('utt130710', 'utt41650')
('utt121643', 'utt128010')
('utt42269', 'utt134355')
('utt102752', 'utt60225')
('utt91491', 'utt81210')
('utt9736', 'utt28379')
('utt61819', 'utt3295')
('utt99929', 'utt15528')
('utt53734', 'utt55812')
('utt386', 'utt141198')
('utt7307', 'utt90070')
('utt81691', 'utt81976')
('utt49523', 'utt152709')
('utt152839', 'utt39798')
('utt73214', 'utt152836')
('utt89440', 'utt95717')
('utt21346', 'utt60292')
('utt125383', 'utt93893')
('utt33945', 'utt13501')
('utt25712', 'utt55388')
('utt69474', 'utt80063')
('utt134357', 'utt34497')
('utt100941', 'utt89435')
('utt126984', 'utt2942')
('utt53155', 'utt102428')
('utt144886', 'utt15147')
('utt71850', 'utt139897')
('utt81330', 'utt147936')
('utt80510', 'utt16175')
('utt85934', 'utt28289')
('utt107145', 'utt124884')
('utt147512', 'utt152137')
('utt120330', 'utt27287')
('utt14074', 'utt81158')
('utt35485', 'utt85860')
('utt77179', 'utt102196')
('utt61186', 'utt122128')
('utt143138', 'utt97810')
('utt60289', 'utt80064')
('utt55961', 'utt89189')
('utt114694', 'utt20771')
('utt1296', 'utt63054')
('utt151539', 'utt124205')
('utt35832', 'utt111107')
('utt131405', 'utt145838')
('utt59841', 'utt138009')
('utt126266', 'utt29054')
('utt7245', 'utt46615')
('utt59974', 'utt34418')
('utt76940', 'utt113837')
('utt80272', 'utt142434')
('utt46514', 'utt57492')
('utt127067', 'utt24351')
('utt137844', 'utt134357')
('utt25872', 'utt72141')
('utt105059', 'utt85863')
('utt53300', 'utt83839')
('utt47168', 'utt134595')
('utt73523', 'utt51963')
('utt56519', 'utt29497')
('utt103896', 'utt46375')
('utt106979', 'utt109052')
('utt108743', 'utt10895')
('utt77074', 'utt16247')
('utt82768', 'utt52516')
('utt71913', 'utt679')
('utt76134', 'utt98006')
('utt72734', 'utt143144')
('utt74350', 'utt51787')
('utt34758', 'utt57693')
('utt21092', 'utt19299')
('utt62453', 'utt22178')
('utt5542', 'utt96372')
('utt37021', 'utt97301')
('utt19531', 'utt33528')
('utt126064', 'utt142086')
('utt18785', 'utt102128')
('utt68101', 'utt128556')
('utt126660', 'utt60758')
('utt45837', 'utt74931')
('utt78568', 'utt130534')
('utt8333', 'utt54466')
('utt4161', 'utt35277')
('utt126409', 'utt54744')
('utt131516', 'utt25361')
('utt40258', 'utt55811')
('utt75982', 'utt11058')
('utt83178', 'utt95986')
('utt61813', 'utt40096')
('utt32982', 'utt77786')
('utt113014', 'utt13122')
('utt153463', 'utt66970')
('utt140730', 'utt57165')
('utt93220', 'utt46658')
('utt135257', 'utt92045')
('utt140723', 'utt98205')
('utt137735', 'utt97010')
('utt53734', 'utt23589')
('utt8228', 'utt121370')
('utt71577', 'utt43476')
('utt105570', 'utt138313')
('utt113924', 'utt118388')
('utt151007', 'utt51963')
('utt118685', 'utt81616')
('utt147296', 'utt33360')
('utt138769', 'utt49382')
('utt44825', 'utt5217')
('utt45557', 'utt73581')
('utt53732', 'utt20298')
('utt69183', 'utt90852')
('utt12350', 'utt121962')
('utt146750', 'utt87669')
('utt82466', 'utt67846')
('utt128080', 'utt96428')
('utt61553', 'utt57751')
('utt12198', 'utt143138')
('utt92877', 'utt151655')
('utt82771', 'utt24646')
('utt63171', 'utt138766')
('utt147294', 'utt62500')
('utt52106', 'utt104049')
('utt22946', 'utt149746')
('utt115210', 'utt50563')
('utt120209', 'utt103206')
('utt122870', 'utt141193')
('utt118170', 'utt32975')
('utt123053', 'utt22174')
('utt141192', 'utt146311')
('utt134945', 'utt71912')
('utt57893', 'utt4815')
('utt22437', 'utt136804')
('utt2941', 'utt106722')
('utt124077', 'utt97735')
('utt62096', 'utt10304')
('utt12348', 'utt93399')
('utt75787', 'utt23887')
('utt65197', 'utt21644')
('utt16296', 'utt141333')
('utt65109', 'utt44935')
('utt862', 'utt25921')
('utt147876', 'utt32304')
('utt11104', 'utt129975')
('utt133827', 'utt2200')
('utt82201', 'utt31027')
('utt100577', 'utt118683')
('utt16803', 'utt381')
('utt100513', 'utt78021')
('utt148888', 'utt68584')
('utt55813', 'utt53308')
('utt69184', 'utt64217')
('utt123395', 'utt1388')
('utt14269', 'utt5540')
('utt62213', 'utt97301')
('utt88056', 'utt128081')
('utt19036', 'utt140864')
('utt25452', 'utt35355')
('utt74930', 'utt88646')
('utt100578', 'utt5140')
('utt115433', 'utt148887')
('utt25596', 'utt71774')
('utt126723', 'utt123394')
('utt92802', 'utt56138')
('utt139429', 'utt125109')
('utt6728', 'utt4823')
('utt27358', 'utt101903')
('utt4539', 'utt146128')
('utt28575', 'utt107389')
('utt96601', 'utt147002')
('utt30444', 'utt62451')
('utt24973', 'utt99357')
('utt103046', 'utt77073')
('utt90853', 'utt7450')
('utt55962', 'utt118989')
('utt151934', 'utt149166')
('utt138313', 'utt128075')
('utt87670', 'utt493')
('utt71230', 'utt15531')
('utt141329', 'utt68033')
('utt99636', 'utt73526')
('utt25112', 'utt19037')
('utt93848', 'utt61390')
('utt17053', 'utt103541')
('utt53155', 'utt64522')
('utt95988', 'utt142848')
('utt11237', 'utt81976')
('utt12350', 'utt144084')
('utt120425', 'utt82661')
('utt55708', 'utt69471')
('utt150778', 'utt139899')
('utt144889', 'utt88056')
('utt70378', 'utt100342')
('utt147514', 'utt16243')
('utt66203', 'utt38438')
('utt117390', 'utt114996')
('utt2794', 'utt70817')
('utt147298', 'utt104484')
('utt109214', 'utt99049')
('utt36633', 'utt1453')
('utt55963', 'utt114335')
('utt53155', 'utt128386')
('utt11061', 'utt139897')
('utt71453', 'utt14266')
('utt35174', 'utt99720')
('utt77916', 'utt145457')
('utt8049', 'utt36635')
('utt67118', 'utt21297')
('utt99413', 'utt126719')
('utt104408', 'utt73860')
('utt16715', 'utt105920')
('utt30497', 'utt55699')
('utt92597', 'utt57889')
('utt213', 'utt75498')
('utt57174', 'utt90854')
('utt39155', 'utt44776')
('utt127387', 'utt150392')
('utt50209', 'utt126261')
('utt102134', 'utt33047')
('utt35351', 'utt90344')
('utt89834', 'utt112177')
('utt111896', 'utt31278')
('utt87536', 'utt18452')
('utt95469', 'utt64218')
('utt49378', 'utt87271')
('utt44326', 'utt95983')
('utt8589', 'utt56324')
('utt83241', 'utt27865')
('utt3990', 'utt129740')
('utt71579', 'utt61118')
('utt39801', 'utt80892')
('utt101912', 'utt121697')
('utt88565', 'utt125154')
('utt120419', 'utt128675')
('utt48015', 'utt12144')
('utt52819', 'utt92161')
('utt51304', 'utt149473')
('utt18578', 'utt39372')
('utt78070', 'utt14635')
('utt80662', 'utt144446')
('utt135628', 'utt138541')
('utt43811', 'utt85866')
('utt113923', 'utt24351')
('utt132318', 'utt150393')
('utt78850', 'utt54746')
('utt103043', 'utt20258')
('utt152845', 'utt130299')
('utt14394', 'utt105062')
('utt21295', 'utt124776')
('utt123577', 'utt46086')
('utt24566', 'utt63162')
('utt63798', 'utt126718')
('utt63944', 'utt131702')
('utt144380', 'utt9729')
('utt7775', 'utt58413')
('utt19034', 'utt34490')
('utt71129', 'utt11894')
('utt4262', 'utt102942')
('utt133331', 'utt134589')
('utt42414', 'utt146810')
('utt25195', 'utt135101')
('utt979', 'utt40088')
('utt142262', 'utt135436')
('utt103981', 'utt10839')
('utt78967', 'utt29500')
('utt30436', 'utt7505')
('utt36850', 'utt39368')
('utt1389', 'utt106312')
('utt136854', 'utt18912')
('utt138691', 'utt41130')
('utt139346', 'utt120084')
('utt150772', 'utt151208')
('utt122698', 'utt146817')
('utt113539', 'utt38696')
('utt21645', 'utt12291')
('utt131699', 'utt78394')
('utt41402', 'utt25712')
('utt142182', 'utt16608')
('utt23951', 'utt120334')
('utt110755', 'utt149280')
('utt79873', 'utt68683')
('utt39893', 'utt88481')
('utt27724', 'utt128017')
('utt62591', 'utt130296')
('utt90851', 'utt27091')
('utt93616', 'utt89249')
('utt32980', 'utt36148')
('utt80894', 'utt50869')
('utt99195', 'utt41651')
('utt35482', 'utt83471')
('utt84767', 'utt118681')
('utt32036', 'utt152435')
('utt63265', 'utt144444')
('utt136281', 'utt7457')
('utt11891', 'utt99354')
('utt59847', 'utt123146')
('utt53225', 'utt125108')
('utt105112', 'utt1855')
('utt83106', 'utt38434')
('utt33235', 'utt41846')
('utt149172', 'utt43478')
('utt9198', 'utt38696')
('utt51962', 'utt63265')
('utt54471', 'utt63171')
('utt101093', 'utt107582')
('utt15651', 'utt131511')
('utt56014', 'utt105300')
('utt45980', 'utt95718')
('utt140025', 'utt7453')
('utt147299', 'utt32041')
('utt105921', 'utt118389')
('utt79969', 'utt76943')
('utt89541', 'utt135547')
('utt38767', 'utt9321')
('utt63612', 'utt147577')
('utt129980', 'utt14395')
('utt81333', 'utt37123')
('utt152708', 'utt72742')
('utt89675', 'utt118687')
('utt122299', 'utt29646')
